Student_ID,Gender,Age,Attendance_Percentage,Study_Hours,Previous_Grades,Parent_Education,Risk_Intervention_Level,Predicted_Exam_Score,Primary_Risk_Drivers,Action_Plan
STU1061,Male,18,89.42020172926641,6.048870228450903,66.83018877134165,High School,High,19,Predicted to fail exam (<60 score),Diagnostic test to identify learning gaps. Weekly progress review by subject teachers.
STU1745,Male,16,92.24679271929716,1.7076747661782157,47.25386274302224,High School,High,72,Low study hours (<2.5 hrs/day); Weak academic foundation (Previous grade <60),Enroll in supervised study hall (2 hours/week). Provide study planning guide. | Provide remedial tutoring in core subjects. Assign peer study group.
STU1218,Female,17,92.45418867019148,1.1441076807083874,48.22507655335463,Associate's,High,74,Low study hours (<2.5 hrs/day); Weak academic foundation (Previous grade <60),Enroll in supervised study hall (2 hours/week). Provide study planning guide. | Provide remedial tutoring in core subjects. Assign peer study group.
STU1939,Male,16,91.1744525427358,2.0264466968660444,42.05151139461042,High School,High,75,Low study hours (<2.5 hrs/day); Weak academic foundation (Previous grade <60),Enroll in supervised study hall (2 hours/week). Provide study planning guide. | Provide remedial tutoring in core subjects. Assign peer study group.
STU1940,Female,15,88.51037238155047,1.8353658105517567,40.0,Associate's,High,75,Low study hours (<2.5 hrs/day); Weak academic foundation (Previous grade <60),Enroll in supervised study hall (2 hours/week). Provide study planning guide. | Provide remedial tutoring in core subjects. Assign peer study group.
STU1102,Female,18,81.79356606042307,1.934109025355739,53.36060096967624,Associate's,High,76,Borderline attendance (75%-85%); Low study hours (<2.5 hrs/day); Weak academic foundation (Previous grade <60),Counselor check-in to identify attendance obstacles. Attendance target set. | Enroll in supervised study hall (2 hours/week). Provide study planning guide. | Provide remedial tutoring in core subjects. Assign peer study group.
STU1865,Male,18,83.41078748383498,1.773951342061447,50.90587860720828,Associate's,High,76,Borderline attendance (75%-85%); Low study hours (<2.5 hrs/day); Weak academic foundation (Previous grade <60),Counselor check-in to identify attendance obstacles. Attendance target set. | Enroll in supervised study hall (2 hours/week). Provide study planning guide. | Provide remedial tutoring in core subjects. Assign peer study group.
STU1974,Male,16,84.85912006564917,1.6045000005119576,75.54231674050104,Bachelor's,Medium,77,Borderline attendance (75%-85%); Low study hours (<2.5 hrs/day),Counselor check-in to identify attendance obstacles. Attendance target set. | Enroll in supervised study hall (2 hours/week). Provide study planning guide.
STU1274,Female,15,92.43005573780223,1.069466792974529,60.78135968743956,High School,Medium,77,Low study hours (<2.5 hrs/day),Enroll in supervised study hall (2 hours/week). Provide study planning guide.
STU1077,Female,16,91.17613744798987,3.2819627188697966,48.882540726485416,High School,High,78,Weak academic foundation (Previous grade <60),Provide remedial tutoring in core subjects. Assign peer study group.
STU1986,Female,15,92.79181039067808,1.5844539064212997,47.84510347327972,Associate's,High,78,Low study hours (<2.5 hrs/day); Weak academic foundation (Previous grade <60),Enroll in supervised study hall (2 hours/week). Provide study planning guide. | Provide remedial tutoring in core subjects. Assign peer study group.
STU1890,Male,18,88.50164709576458,1.0,55.01074784333012,High School,Medium,78,Low study hours (<2.5 hrs/day); Weak academic foundation (Previous grade <60),Enroll in supervised study hall (2 hours/week). Provide study planning guide. | Provide remedial tutoring in core subjects. Assign peer study group.
STU1643,Male,16,87.02032997279633,1.667131064708412,60.54651584816696,Associate's,Medium,78,Low study hours (<2.5 hrs/day),Enroll in supervised study hall (2 hours/week). Provide study planning guide.
STU1919,Female,16,75.83402154248353,1.5795605884130448,69.11639033822102,High School,Medium,78,Borderline attendance (75%-85%); Low study hours (<2.5 hrs/day),Counselor check-in to identify attendance obstacles. Attendance target set. | Enroll in supervised study hall (2 hours/week). Provide study planning guide.
STU1450,Male,17,97.65310469256804,1.0,54.91207380364786,High School,High,78,Low study hours (<2.5 hrs/day); Weak academic foundation (Previous grade <60),Enroll in supervised study hall (2 hours/week). Provide study planning guide. | Provide remedial tutoring in core subjects. Assign peer study group.
STU1089,Female,18,88.1269796468791,1.7240708627635877,55.5777582872974,High School,Medium,79,Low study hours (<2.5 hrs/day); Weak academic foundation (Previous grade <60),Enroll in supervised study hall (2 hours/week). Provide study planning guide. | Provide remedial tutoring in core subjects. Assign peer study group.
STU1770,Female,16,98.32486777752072,1.2444518514613494,59.98053761411522,High School,Medium,79,Low study hours (<2.5 hrs/day); Weak academic foundation (Previous grade <60),Enroll in supervised study hall (2 hours/week). Provide study planning guide. | Provide remedial tutoring in core subjects. Assign peer study group.
STU1900,Male,17,79.44825140135168,1.0,69.74356456935998,Bachelor's,Medium,79,Borderline attendance (75%-85%); Low study hours (<2.5 hrs/day),Counselor check-in to identify attendance obstacles. Attendance target set. | Enroll in supervised study hall (2 hours/week). Provide study planning guide.
STU1696,Female,15,83.3032948349243,3.76399112542207,47.39040172807022,Associate's,High,79,Borderline attendance (75%-85%); Weak academic foundation (Previous grade <60),Counselor check-in to identify attendance obstacles. Attendance target set. | Provide remedial tutoring in core subjects. Assign peer study group.
STU1387,Male,17,91.61646446985468,2.049893560131576,47.24385826199021,Associate's,High,79,Low study hours (<2.5 hrs/day); Weak academic foundation (Previous grade <60),Enroll in supervised study hall (2 hours/week). Provide study planning guide. | Provide remedial tutoring in core subjects. Assign peer study group.
STU1169,Male,15,94.89626030333116,1.8533557144993345,50.72151110653144,High School,High,79,Low study hours (<2.5 hrs/day); Weak academic foundation (Previous grade <60),Enroll in supervised study hall (2 hours/week). Provide study planning guide. | Provide remedial tutoring in core subjects. Assign peer study group.
STU1318,Male,17,88.42233030477463,1.7012310425752788,58.952871788707775,High School,Medium,79,Low study hours (<2.5 hrs/day); Weak academic foundation (Previous grade <60),Enroll in supervised study hall (2 hours/week). Provide study planning guide. | Provide remedial tutoring in core subjects. Assign peer study group.
STU1482,Female,15,87.27427798228933,2.190792440263535,62.146083501655966,Associate's,Medium,80,Low study hours (<2.5 hrs/day),Enroll in supervised study hall (2 hours/week). Provide study planning guide.
STU1507,Female,16,86.15552544143722,1.538066782292744,46.03436398381166,Master's,High,80,Low study hours (<2.5 hrs/day); Weak academic foundation (Previous grade <60),Enroll in supervised study hall (2 hours/week). Provide study planning guide. | Provide remedial tutoring in core subjects. Assign peer study group.
STU1703,Male,16,83.2991049031103,2.79723734927406,53.44689215635593,High School,High,80,Borderline attendance (75%-85%); Weak academic foundation (Previous grade <60),Counselor check-in to identify attendance obstacles. Attendance target set. | Provide remedial tutoring in core subjects. Assign peer study group.
STU1439,Female,15,85.26555288228268,2.4889816492977124,51.53338090920474,Associate's,High,80,Low study hours (<2.5 hrs/day); Weak academic foundation (Previous grade <60),Enroll in supervised study hall (2 hours/week). Provide study planning guide. | Provide remedial tutoring in core subjects. Assign peer study group.
STU1588,Male,16,90.19069055813289,1.7264851176157978,58.28885676615285,High School,Medium,81,Low study hours (<2.5 hrs/day); Weak academic foundation (Previous grade <60),Enroll in supervised study hall (2 hours/week). Provide study planning guide. | Provide remedial tutoring in core subjects. Assign peer study group.
STU1682,Male,18,92.32630576837438,3.940533110733844,47.36550695580918,Associate's,High,81,Weak academic foundation (Previous grade <60),Provide remedial tutoring in core subjects. Assign peer study group.
STU1541,Female,17,81.01875471415802,2.9272037669863167,55.62421591356743,High School,Medium,81,Borderline attendance (75%-85%); Weak academic foundation (Previous grade <60),Counselor check-in to identify attendance obstacles. Attendance target set. | Provide remedial tutoring in core subjects. Assign peer study group.
STU1348,Male,16,81.24862914189725,2.5466984137937447,59.90637202081795,High School,Medium,81,Borderline attendance (75%-85%); Weak academic foundation (Previous grade <60),Counselor check-in to identify attendance obstacles. Attendance target set. | Provide remedial tutoring in core subjects. Assign peer study group.
